split,nome_modelo,dataset,tempo_tune,tempo_train,auc_ovo,mean_acc,g_mean,mean_cross_entropy,tempo_predict
train,AutoGulon,steel-plates-fault,5486.285083,1608.184825,0.935242832963959,0.6812363834422659,0.4280232804351634,1.0346733896544569,1048.626811
test,AutoGulon,steel-plates-fault,5486.285083,1608.184825,0.9552545594861324,0.5917667238421955,0.0,1.2421318643312282,1048.626811
train,AutoGulon,tic-tac-toe,1004.654372,246.213966,0.82757165946625,0.7880597014925373,0.5699140107499987,0.46640434772174,65.835176
test,AutoGulon,tic-tac-toe,1004.654372,246.213966,0.9562765957446808,0.8298611111111112,0.7191898515365686,0.4253175607903501,65.835176
train,AutoGulon,banknote-authentication,915.000458,244.959011,0.9854648260747426,0.871875,0.8388708885305485,0.5625039533566742,266.000327
test,AutoGulon,banknote-authentication,915.000458,244.959011,0.9681676092299616,0.8737864077669902,0.8550130519843782,0.563014412083957,266.000327
train,AutoGulon,diabetes,998.002842,350.846302,0.7991478696741854,0.6984626135569532,0.4020373174801483,0.5505840151955559,70.99206
test,AutoGulon,diabetes,998.002842,350.846302,0.8180246913580247,0.7445887445887446,0.5842233069879903,0.5420562869877765,70.99206
train,AutoGulon,ilpd,1075.668596,244.830439,0.6707523510971788,0.676829268292683,0.2425907273272332,0.6022350785955497,69.499949
test,AutoGulon,ilpd,1075.668596,244.830439,0.6288,0.6857142857142857,0.3308171700501653,0.6822377070119167,69.499949
train,AutoGulon,blood-transfusion-service-center,1386.854497,315.808123,0.6753772189349113,0.7629172714078375,0.1238367423602953,0.6121472945867888,110.052797
test,AutoGulon,blood-transfusion-service-center,1386.854497,315.808123,0.7357050032488629,0.7688888888888888,0.235012061958013,0.6767923659099112,110.052797
train,AutoGulon,climate-model-simulation-crashes,1077.526226,292.254289,0.7934943977591037,0.9153627311522048,0.0,0.2799093654528777,117.829878
test,AutoGulon,climate-model-simulation-crashes,1077.526226,292.254289,0.6920849420849421,0.9135802469135802,0.0,0.2826535612655839,117.829878
train,AutoGulon,car,5628.684242,1508.964603,0.9429667869046956,0.8411294765840222,0.4413037320255331,0.4192719375172483,390.776656
test,AutoGulon,car,5628.684242,1508.964603,0.9960346168251308,0.953757225433526,0.8965773268604408,0.2484211707639244,390.776656
train,AutoGulon,cnae-9,2845.286471,1126.417228,0.9409861539780522,0.7238771929824561,0.6690099766975237,1.867682323117031,349.698637
test,AutoGulon,cnae-9,2845.286471,1126.417228,0.9334276406035666,0.6790123456790124,0.6565564479264187,2.151155464114722,349.698637
train,AutoGulon,balance-scale,4413.701412,1111.407674,0.7271216931216932,0.7710887949260042,0.0,0.8459722063534674,485.481679
test,AutoGulon,balance-scale,4413.701412,1111.407674,0.7885161424455731,0.8404255319148937,0.0,0.7810304781945259,485.481679
train,AutoGulon,pc3,1234.52529,254.27661,0.765839517625232,0.8976313594662217,0.0,0.3233870569402276,74.360208
test,AutoGulon,pc3,1234.52529,254.27661,0.772590063341251,0.8976545842217484,0.0,0.3243878726956526,74.360208
train,AutoGulon,wdbc,292.349872,103.390302,0.9752857142857144,0.8444871794871796,0.6859772664407556,0.4557739751618723,32.693146
test,AutoGulon,wdbc,292.349872,103.390302,0.999123831775701,0.9181286549707602,0.8838834764831844,0.3991654438905504,32.693146
train,AutoGulon,pc4,1157.686462,330.331451,0.8620137088255067,0.877450980392157,0.0,0.3570480425573429,178.366743
test,AutoGulon,pc4,1157.686462,330.331451,0.9044106836559668,0.8789954337899544,0.0,0.3500338334205459,178.366743
