,dataset,total_time,tuning_time,training_time,predict_time,best_params_preset,best_params_model_set,train_metrics_accuracy,train_metrics_gmean,train_metrics_cross_entropy,train_metrics_auc_ovo,test_metrics_accuracy,test_metrics_gmean,test_metrics_cross_entropy,test_metrics_auc_ovo
0,steel-plates-fault,8143.096718549728,5486.285083,1608.184825,1048.626811,high_quality,gbm_cat_xgb,0.6812363834422659,0.4280232804351634,1.0346733896544569,0.935242832963959,0.5917667238421955,0.0,1.2421318643312282,0.9552545594861324
1,tic-tac-toe,1316.703513622284,1004.654372,246.213966,65.835176,high_quality,gbm_only,0.7880597014925373,0.5699140107499987,0.46640434772174,0.82757165946625,0.8298611111111112,0.7191898515365686,0.4253175607903501,0.9562765957446808
2,banknote-authentication,1425.959796667099,915.000458,244.959011,266.000327,high_quality,gbm_cat,0.871875,0.8388708885305485,0.5625039533566742,0.9854648260747426,0.8737864077669902,0.8550130519843782,0.563014412083957,0.9681676092299616
3,diabetes,1419.841204404831,998.002842,350.846302,70.99206,good_quality,gbm_cat,0.6984626135569532,0.40203731748014837,0.5505840151955559,0.7991478696741854,0.7445887445887446,0.5842233069879903,0.5420562869877765,0.8180246913580247
4,ilpd,1389.9989848136902,1075.668596,244.830439,69.499949,high_quality,all_trees,0.676829268292683,0.24259072732723327,0.6022350785955497,0.6707523510971788,0.6857142857142857,0.3308171700501653,0.6822377070119167,0.6288
5,blood-transfusion-service-center,1812.7154171466827,1386.854497,315.808123,110.052797,good_quality,gbm_cat,0.7629172714078375,0.12383674236029536,0.6121472945867888,0.6753772189349113,0.7688888888888888,0.23501206195801305,0.6767923659099112,0.7357050032488629
6,climate-model-simulation-crashes,1487.6103932857513,1077.526226,292.254289,117.829878,good_quality,all_trees,0.9153627311522049,0.0,0.2799093654528777,0.7934943977591037,0.9135802469135802,0.0,0.2826535612655839,0.6920849420849421
7,car,7528.425501346588,5628.684242,1508.964603,390.776656,good_quality,gbm_cat_xgb,0.8411294765840222,0.4413037320255331,0.4192719375172483,0.9429667869046956,0.953757225433526,0.8965773268604408,0.24842117076392442,0.9960346168251307
8,cnae-9,4321.402336359024,2845.286471,1126.417228,349.698637,high_quality,gbm_cat_xgb,0.7238771929824561,0.6690099766975237,1.867682323117031,0.9409861539780522,0.6790123456790124,0.6565564479264187,2.151155464114722,0.9334276406035666
9,balance-scale,6010.590765476227,4413.701412,1111.407674,485.481679,medium_quality,gbm_only,0.7710887949260042,0.0,0.8459722063534674,0.7271216931216932,0.8404255319148937,0.0,0.7810304781945259,0.7885161424455731
10,pc3,1563.1621084213257,1234.52529,254.27661,74.360208,medium_quality,gbm_only,0.8976313594662217,0.0,0.3233870569402276,0.765839517625232,0.8976545842217484,0.0,0.32438787269565267,0.772590063341251
11,wdbc,428.4333200454712,292.349872,103.390302,32.693146,good_quality,gbm_cat_xgb,0.8444871794871796,0.6859772664407556,0.45577397516187235,0.9752857142857143,0.9181286549707602,0.8838834764831844,0.3991654438905504,0.999123831775701
12,pc4,1666.384655714035,1157.686462,330.331451,178.366743,good_quality,gbm_cat,0.877450980392157,0.0,0.3570480425573429,0.8620137088255067,0.8789954337899544,0.0,0.35003383342054595,0.9044106836559667
13,cylinder-bands,1071.1518001556396,784.191652,206.386324,80.573824,good_quality,tree_ensemble,0.7088904694167854,0.5400433723913184,0.595165628289709,0.7773877164502163,0.5802469135802469,0.0,0.668705660612976,0.7324780976220275
14,credit-approval,1124.4277217388153,744.092334,268.945148,111.39024,medium_quality,all_trees,0.8467687074829933,0.8304065325586697,0.5552419225201622,0.9246656121656119,0.7632850241545893,0.7181813831162852,0.6124785619087573,0.8946597353497164
15,dresses-sales,1132.0698411464691,758.957286,259.865873,113.246682,high_quality,gbm_xgb,0.5942857142857142,0.30849887556191535,0.6786700426598488,0.6053469387755102,0.56,0.46556285125953334,0.6801974019349406,0.5734355044699871
