split,nome_modelo,dataset,tempo_tune,tempo_train,auc_ovo,mean_acc,g_mean,mean_cross_entropy,tempo_predict
train,LightGBM,steel-plates-fault,463.52,183.67,0.9665841596943312,0.7952668845315903,0.8031201238994996,1.1206672646242857,55.16
test,LightGBM,steel-plates-fault,463.52,183.67,0.9677543126618672,0.8096054888507719,0.8104601198097646,1.1379461480533892,55.16
train,LightGBM,tic-tac-toe,38.19,18.37,1.0,1.0,1.0,0.0028021935544919,5.68
test,LightGBM,tic-tac-toe,38.19,18.37,1.0,1.0,1.0,0.000870827220523,5.68
train,LightGBM,banknote-authentication,26.37,13.14,0.9998236331569664,0.9947916666666669,0.9948354680345975,0.0207725497295143,5.87
test,LightGBM,banknote-authentication,26.37,13.14,1.0,0.9975728155339806,0.997814205036652,0.013428437572842,5.87
train,LightGBM,diabetes,26.91,10.45,0.8102339181286549,0.7654786862334032,0.6967840120947619,0.5115512997057066,2.81
test,LightGBM,diabetes,26.91,10.45,0.8453497942386832,0.7619047619047619,0.6965523563847769,0.472481912938105,2.81
train,LightGBM,ilpd,21.42,7.36,0.7205538140020898,0.720609756097561,0.6024668947931542,0.9572074232926558,2.99
test,LightGBM,ilpd,21.42,7.36,0.67184,0.64,0.5203076013282911,1.0920100124026937,2.99
train,LightGBM,blood-transfusion-service-center,46.93,18.41,0.7311482988165681,0.7839622641509434,0.5294237655876369,0.4908764641018653,7.73
test,LightGBM,blood-transfusion-service-center,46.93,18.41,0.7391704570067144,0.7822222222222223,0.6173261843901675,0.4870465336799863,7.73
train,LightGBM,climate-model-simulation-crashes,48.57,17.66,0.951498599439776,0.9524893314367,0.7209719230089268,0.21291966309736,7.17
test,LightGBM,climate-model-simulation-crashes,48.57,17.66,0.9078185328185328,0.9382716049382716,0.5345224838248488,0.2924291766753989,7.17
train,LightGBM,car,173.76,66.11,0.999133548006097,0.991714876033058,0.9836470563391174,0.0267348727136854,23.77
test,LightGBM,car,173.76,66.11,0.9996281989859064,0.9845857418111752,0.9816232263340644,0.0439668509582258,23.77
train,LightGBM,cnae-9,295.12,115.26,0.9936840920781892,0.9074385964912282,0.900313786930435,0.3093474040415313,42.11
test,LightGBM,cnae-9,295.12,115.26,0.990408521947874,0.9135802469135802,0.91200348386373,0.3428025632655629,42.11
train,LightGBM,balance-scale,61.94,25.13,0.9241812169312168,0.8627378435517971,0.5229624302183161,0.5458890469496478,11.4
test,LightGBM,balance-scale,61.94,25.13,0.910402744364252,0.8563829787234043,0.4826188040719947,0.5559304170267588,11.4
train,LightGBM,pc3,74.23,28.71,0.8403557841869531,0.9012844036697248,0.5431893656739685,0.4234695506089981,13.44
test,LightGBM,pc3,74.23,28.71,0.7851593428345208,0.8763326226012793,0.4231288276052505,0.5470947060960377,13.44
train,LightGBM,wdbc,41.42,18.0,0.9905904761904762,0.9699358974358974,0.964579028263481,0.2194636895459537,6.67
test,LightGBM,wdbc,41.42,18.0,0.9899240654205608,0.9649122807017544,0.9519716382329886,0.1713978053206534,6.67
train,LightGBM,pc4,59.57,23.41,0.940650148852396,0.923529411764706,0.7407674677767876,0.4594092508088984,10.77
test,LightGBM,pc4,59.57,23.41,0.9410928693947562,0.9041095890410958,0.6987579557439836,0.5754340532252472,10.77
train,LightGBM,cylinder-bands,34.67,13.02,0.8896239177489178,0.822972972972973,0.8152693477001822,0.4596825576878743,6.21
test,LightGBM,cylinder-bands,34.67,13.02,0.8585732165206509,0.7901234567901234,0.7717436331412897,0.5241434027684647,6.21
train,LightGBM,credit-approval,30.14,12.28,0.9380181546848212,0.8923469387755102,0.8917195734474191,0.2935897703521456,5.89
test,LightGBM,credit-approval,30.14,12.28,0.9123818525519848,0.8357487922705314,0.8347373176119471,0.3780675906918131,5.89
train,LightGBM,dresses-sales,28.01,11.33,0.6664217687074832,0.6342857142857143,0.6161115343150285,1.5566535086002795,5.18
test,LightGBM,dresses-sales,28.01,11.33,0.5309250136836343,0.54,0.4794633014853841,2.53115453634617,5.18
train,LightGBM,kc2,36.22,13.44,0.7891317733990147,0.8526276276276276,0.7294110703104923,0.978696401522294,8.07
test,LightGBM,kc2,36.22,13.44,0.698625,0.8089171974522293,0.648074069840786,1.39054058889928,8.07
train,LightGBM,eucalyptus,111.64,42.76,0.8519833711262281,0.6425775978407557,0.6210793693196888,1.4114293712806116,17.7
test,LightGBM,eucalyptus,111.64,42.76,0.8688975277110043,0.6526946107784432,0.6346767812415868,1.3005490721268032,17.7
train,LightGBM,qsar-biodeg,73.56,29.18,0.918778911564626,0.8685486856719733,0.8442730004029786,0.5761949919987416,16.5
test,LightGBM,qsar-biodeg,73.56,29.18,0.9106809078771696,0.8769716088328076,0.8427021196622867,0.5305175678715811,16.5
train,LightGBM,credit-g,44.68,17.32,0.7389698736637513,0.7442857142857143,0.6517458221657945,1.1928632151264364,8.22
test,LightGBM,credit-g,44.68,17.32,0.707936507936508,0.71,0.5463684823619666,1.307993490342663,8.22
train,LightGBM,breast-w,21.18,9.05,0.9907628676470588,0.9733843537414966,0.9721838537340112,0.278194460763853,4.12
test,LightGBM,breast-w,21.18,9.05,0.989231078904992,0.9476190476190476,0.946856822434108,0.4263443856569405,4.12
train,LightGBM,vehicle,150.87,60.29,0.935514879816777,0.7802824858757061,0.7541283558224109,0.93651057576766,25.5
test,LightGBM,vehicle,150.87,60.29,0.9407448841222878,0.7992125984251969,0.7808932832160027,0.7948519086342413,25.5
train,LightGBM,mfeat-morphological,250.06,99.22,0.9602380952380952,0.7378571428571428,0.6958790216117581,0.8817978482314572,40.04
test,LightGBM,mfeat-morphological,250.06,99.22,0.9560586419753084,0.7233333333333334,0.6932168933856965,0.912754382276546,40.04
train,LightGBM,analcatdata_authorship,119.73,45.59,0.999573183961771,0.9881063705435418,0.9765723098169068,0.0395627937328098,20.1
test,LightGBM,analcatdata_authorship,119.73,45.59,0.9999831309041834,0.9960474308300395,0.9973579689909136,0.0105665908917536,20.1
train,LightGBM,pc1,47.32,18.44,0.8597339548452562,0.9407925407925408,0.580446098416454,0.1830036688591261,8.02
test,LightGBM,pc1,47.32,18.44,0.8720196353436186,0.9369369369369368,0.5074480331140918,0.1796113633118108,8.02
train,LightGBM,vowel,411.52,160.19,0.9969609358895072,0.9336231884057972,0.9283163686469844,0.2635948194597616,68.12
test,LightGBM,vowel,411.52,160.19,0.994338446190298,0.915824915824916,0.913687901060772,0.3675088899235325,68.12
train,LightGBM,analcatdata_dmft,112.04,45.09,0.5727628367003367,0.2791859389454209,0.1719886137049017,1.88160527279624,21.14
test,LightGBM,analcatdata_dmft,112.04,45.09,0.5662426677911229,0.236180904522613,0.2209320533094208,1.8429982608526132,21.14
train,LightGBM,semeion,460.67,182.91,0.99731088664422,0.9344916344916344,0.9309873197222982,0.2688426923025835,74.12
test,LightGBM,semeion,460.67,182.91,0.996592697960176,0.9476987447698744,0.946768246238686,0.2536459173845158,74.12
train,LightGBM,MiceProtein,448.35,178.07,0.9994893127705629,0.9788421052631578,0.9756267640765068,0.0785416952193253,69.51
test,LightGBM,MiceProtein,448.35,178.07,0.9998129597367402,0.984567901234568,0.984223093470354,0.0480232651689886,69.51
