,dataset,total_time,tuning_time,training_time,predict_time,best_params_num_leaves,best_params_learning_rate,best_params_n_estimators,best_params_max_depth,best_params_min_child_samples,train_metrics_accuracy,train_metrics_gmean,train_metrics_cross_entropy,train_metrics_auc_ovo,test_metrics_accuracy,test_metrics_gmean,test_metrics_cross_entropy,test_metrics_auc_ovo
0,steel-plates-fault,702.3462569713593,463.52,183.67,55.16,63,0.1,800,-1,30,0.7952668845315903,0.8031201238994996,1.1206672646242857,0.9665841596943313,0.8096054888507719,0.8104601198097646,1.1379461480533892,0.9677543126618673
1,tic-tac-toe,62.237957239151,38.19,18.37,5.68,127,0.03,800,-1,20,1.0,1.0,0.0028021935544919946,1.0,1.0,1.0,0.0008708272205230109,1.0
2,banknote-authentication,45.38153004646301,26.37,13.14,5.87,63,0.1,300,7,30,0.9947916666666667,0.9948354680345975,0.02077254972951436,0.9998236331569664,0.9975728155339806,0.997814205036652,0.013428437572842006,1.0
3,diabetes,40.16423511505127,26.91,10.45,2.81,31,0.01,300,7,20,0.7654786862334032,0.6967840120947619,0.5115512997057066,0.8102339181286549,0.7619047619047619,0.6965523563847769,0.472481912938105,0.8453497942386832
4,ilpd,31.763253688812256,21.42,7.36,2.99,63,0.1,300,7,20,0.720609756097561,0.6024668947931542,0.9572074232926558,0.7205538140020898,0.64,0.5203076013282911,1.0920100124026935,0.67184
5,blood-transfusion-service-center,73.06984901428223,46.93,18.41,7.73,63,0.003,800,10,20,0.7839622641509434,0.5294237655876369,0.49087646410186536,0.7311482988165681,0.7822222222222223,0.6173261843901675,0.4870465336799863,0.7391704570067144
6,climate-model-simulation-crashes,73.40359139442444,48.57,17.66,7.17,127,0.01,1200,5,20,0.9524893314367,0.7209719230089268,0.21291966309736007,0.951498599439776,0.9382716049382716,0.5345224838248488,0.29242917667539897,0.9078185328185329
7,car,263.64279103279114,173.76,66.11,23.77,127,0.03,800,5,20,0.9917148760330579,0.9836470563391174,0.026734872713685454,0.999133548006097,0.9845857418111753,0.9816232263340645,0.043966850958225855,0.9996281989859065
8,cnae-9,452.48675322532654,295.12,115.26,42.11,31,0.01,500,3,5,0.9074385964912282,0.900313786930435,0.3093474040415313,0.9936840920781893,0.9135802469135802,0.9120034838637299,0.3428025632655629,0.990408521947874
9,balance-scale,98.46764135360718,61.94,25.13,11.4,127,0.1,800,3,10,0.8627378435517971,0.5229624302183161,0.5458890469496478,0.9241812169312169,0.8563829787234043,0.4826188040719947,0.5559304170267588,0.9104027443642521
10,pc3,116.37544369697571,74.23,28.71,13.44,10,0.03,1200,10,10,0.9012844036697247,0.5431893656739685,0.4234695506089981,0.8403557841869531,0.8763326226012793,0.4231288276052505,0.5470947060960377,0.7851593428345208
11,wdbc,66.0854344367981,41.42,18.0,6.67,255,0.03,800,-1,10,0.9699358974358974,0.964579028263481,0.21946368954595372,0.9905904761904762,0.9649122807017544,0.9519716382329886,0.1713978053206534,0.9899240654205607
12,pc4,93.74662327766418,59.57,23.41,10.77,255,0.1,800,10,20,0.9235294117647059,0.7407674677767876,0.4594092508088984,0.940650148852396,0.9041095890410958,0.6987579557439836,0.5754340532252472,0.9410928693947562
13,cylinder-bands,53.903661012649536,34.67,13.02,6.21,10,0.03,500,7,5,0.822972972972973,0.8152693477001822,0.4596825576878743,0.8896239177489178,0.7901234567901234,0.7717436331412897,0.5241434027684647,0.8585732165206509
14,credit-approval,48.3112952709198,30.14,12.28,5.89,255,0.03,100,10,10,0.8923469387755102,0.8917195734474191,0.2935897703521456,0.9380181546848213,0.8357487922705314,0.8347373176119471,0.3780675906918131,0.9123818525519849
15,dresses-sales,44.52000164985657,28.01,11.33,5.18,10,0.1,800,10,5,0.6342857142857143,0.6161115343150285,1.5566535086002795,0.6664217687074832,0.54,0.47946330148538413,2.53115453634617,0.5309250136836343
16,kc2,57.73389005661011,36.22,13.44,8.07,255,0.1,800,7,10,0.8526276276276276,0.7294110703104923,0.9786964015222939,0.7891317733990147,0.8089171974522293,0.648074069840786,1.39054058889928,0.698625
17,eucalyptus,172.10135698318481,111.64,42.76,17.7,63,0.03,800,-1,30,0.6425775978407557,0.6210793693196888,1.4114293712806116,0.8519833711262281,0.6526946107784432,0.6346767812415868,1.3005490721268032,0.8688975277110043
18,qsar-biodeg,119.23703360557556,73.56,29.18,16.5,63,0.03,1200,5,20,0.8685486856719733,0.8442730004029786,0.5761949919987416,0.9187789115646259,0.8769716088328076,0.8427021196622867,0.5305175678715811,0.9106809078771696
19,credit-g,70.21856570243835,44.68,17.32,8.22,255,0.1,500,5,5,0.7442857142857143,0.6517458221657945,1.1928632151264364,0.7389698736637513,0.71,0.5463684823619666,1.307993490342663,0.707936507936508
20,breast-w,34.350550413131714,21.18,9.05,4.12,10,0.1,800,3,5,0.9733843537414966,0.9721838537340112,0.278194460763853,0.9907628676470589,0.9476190476190476,0.9468568224341081,0.42634438565694055,0.989231078904992
21,vehicle,236.65562987327576,150.87,60.29,25.5,10,0.03,1200,-1,20,0.7802824858757061,0.7541283558224109,0.9365105757676601,0.935514879816777,0.7992125984251969,0.7808932832160027,0.7948519086342413,0.9407448841222878
22,mfeat-morphological,389.3171396255493,250.06,99.22,40.04,63,0.01,100,5,30,0.7378571428571428,0.6958790216117581,0.8817978482314572,0.9602380952380953,0.7233333333333334,0.6932168933856965,0.912754382276546,0.9560586419753084
23,analcatdata_authorship,185.41799879074097,119.73,45.59,20.1,127,0.03,800,3,10,0.9881063705435418,0.9765723098169067,0.039562793732809826,0.999573183961771,0.9960474308300395,0.9973579689909136,0.010566590891753679,0.9999831309041834
24,pc1,73.7792718410492,47.32,18.44,8.02,63,0.01,300,5,5,0.9407925407925408,0.580446098416454,0.18300366885912617,0.8597339548452562,0.9369369369369369,0.5074480331140918,0.17961136331181088,0.8720196353436186
25,vowel,639.8312795162201,411.52,160.19,68.12,10,0.03,1200,10,30,0.9336231884057972,0.9283163686469844,0.26359481945976165,0.9969609358895072,0.9158249158249159,0.9136879010607719,0.36750888992353253,0.994338446190298
26,analcatdata_dmft,178.2711935043335,112.04,45.09,21.14,255,0.03,800,3,10,0.27918593894542093,0.17198861370490176,1.8816052727962398,0.5727628367003367,0.23618090452261306,0.22093205330942084,1.8429982608526132,0.5662426677911229
