iter	Passed	Remaining
0	0	71
1	0	73
2	0	72
3	0	70
4	0	72
5	1	74
6	1	72
7	1	71
8	1	70
9	1	69
10	2	69
11	2	70
12	2	70
13	2	71
14	2	71
15	3	70
16	3	70
17	3	69
18	3	69
19	3	68
20	3	68
21	4	67
22	4	67
23	4	66
24	4	66
25	4	66
26	5	65
27	5	65
28	5	65
29	5	65
30	5	64
31	5	64
32	6	64
33	6	63
34	6	63
35	6	63
36	6	63
37	6	62
38	7	62
39	7	62
40	7	62
41	7	62
42	7	61
43	8	61
44	8	61
45	8	61
46	8	60
47	8	61
48	9	61
49	9	62
50	9	61
51	9	61
52	10	62
53	10	61
54	10	61
55	10	61
56	10	61
57	10	60
58	11	60
59	11	60
60	11	60
61	11	59
62	11	59
63	11	59
64	12	58
65	12	58
66	12	58
67	12	58
68	12	57
69	13	57
70	13	57
71	13	57
72	13	57
73	13	56
74	13	56
75	14	56
76	14	56
77	14	55
78	14	55
79	14	55
80	14	55
81	15	54
82	15	54
83	15	54
84	15	54
85	15	54
86	15	53
87	16	53
88	16	53
89	16	53
90	16	52
91	16	53
92	17	52
93	17	52
94	17	52
95	17	52
96	17	51
97	17	51
98	18	51
99	18	51
100	18	51
101	18	51
102	18	50
103	19	50
104	19	50
105	19	50
106	19	50
107	19	50
108	19	49
109	20	49
110	20	49
111	20	49
112	21	50
113	21	50
114	21	50
115	21	49
116	21	49
117	22	49
118	22	49
119	23	50
120	23	50
121	23	49
122	23	49
123	23	49
124	23	49
125	24	48
126	24	48
127	24	48
128	24	48
129	24	48
130	25	47
131	25	47
132	25	47
133	25	47
134	25	46
135	25	46
136	26	46
137	26	46
138	26	46
139	26	45
140	26	45
141	27	45
142	27	45
143	27	45
144	27	44
145	27	44
146	27	44
147	28	44
148	28	43
149	28	43
150	28	43
151	28	43
152	28	43
153	29	42
154	29	42
155	29	42
156	29	42
157	29	42
158	29	41
159	30	41
160	30	41
161	30	41
162	30	40
163	30	40
164	30	40
165	31	40
166	31	40
167	31	39
168	31	39
169	31	39
170	32	39
171	32	39
172	32	38
173	32	38
174	32	38
175	32	38
176	33	38
177	33	37
178	33	37
179	33	37
180	33	37
181	33	37
182	34	36
183	34	36
184	34	36
185	34	36
186	34	36
187	35	35
188	35	35
189	35	35
190	35	35
191	35	35
192	35	34
193	36	34
194	36	34
195	36	34
196	36	34
197	36	33
198	36	33
199	37	33
200	37	33
201	37	33
202	37	32
203	37	32
204	37	32
205	38	32
206	38	32
207	38	31
208	38	31
209	38	31
210	39	31
211	39	31
212	39	31
213	39	30
214	39	30
215	39	30
216	40	30
217	40	30
218	40	29
219	40	29
220	40	29
221	40	29
222	41	29
223	41	28
224	41	28
225	41	28
226	41	28
227	41	28
228	42	27
229	42	27
230	42	27
231	42	27
232	42	27
233	43	27
234	43	26
235	43	26
236	43	26
237	43	26
238	43	26
239	44	25
240	44	25
241	44	25
242	44	25
243	44	25
244	45	24
245	45	24
246	45	24
247	45	24
248	45	24
249	45	24
250	46	23
251	46	23
252	46	23
253	46	23
254	46	23
255	46	22
256	47	22
257	47	22
258	47	22
259	47	22
260	47	21
261	47	21
262	48	21
263	48	21
264	48	21
265	48	21
266	49	20
267	49	20
268	49	20
269	49	20
270	49	20
271	50	20
272	50	19
273	50	19
274	50	19
275	50	19
276	50	19
277	51	18
278	51	18
279	51	18
280	51	18
281	51	18
282	51	17
283	52	17
284	52	17
285	52	17
286	52	17
287	53	17
288	53	16
289	53	16
290	53	16
291	53	16
292	53	16
293	54	16
294	54	15
295	54	15
296	54	15
297	54	15
298	54	15
299	55	14
300	55	14
301	55	14
302	55	14
303	55	14
304	55	13
305	56	13
306	56	13
307	56	13
308	56	13
309	57	13
310	57	12
311	57	12
312	57	12
313	57	12
314	57	12
315	58	11
316	58	11
317	58	11
318	58	11
319	58	11
320	58	11
321	59	10
322	59	10
323	59	10
324	59	10
325	59	10
326	59	9
327	60	9
328	60	9
329	60	9
330	60	9
331	60	8
332	61	8
333	61	8
334	61	8
335	61	8
336	61	8
337	62	7
338	62	7
339	62	7
340	62	7
341	62	7
342	63	6
343	63	6
344	63	6
345	63	6
346	63	6
347	63	6
348	64	5
349	64	5
350	64	5
351	64	5
352	64	5
353	64	4
354	65	4
355	65	4
356	65	4
357	65	4
358	65	4
359	66	3
360	66	3
361	66	3
362	66	3
363	66	3
364	66	2
365	67	2
366	67	2
367	67	2
368	67	2
369	67	2
370	67	1
371	68	1
372	68	1
373	68	1
374	68	1
375	68	0
376	68	0
377	69	0
378	69	0
379	69	0
380	69	0
