split,nome_modelo,dataset,tempo_tune,tempo_train,auc_ovo,mean_acc,g_mean,mean_cross_entropy,tempo_predict
train,CatBoost,credit-approval,14.668849229812622,0.014621973037719727,0.9700179763739086,0.9147465437788018,0.9154694053567519,0.2493388959701365,0.000186920166015625
test,CatBoost,credit-approval,14.668849229812622,0.014621973037719727,0.9280224929709465,0.8405797101449275,0.8420197078245123,0.3474801151840047,0.00010800361633300781
train,CatBoost,dresses-sales,18.087480068206787,0.027985095977783203,0.9941026923397516,0.9396825396825397,0.926758537593339,0.3280057167261249,0.00016808509826660156
test,CatBoost,dresses-sales,18.087480068206787,0.027985095977783203,0.5181536216018975,0.5266666666666666,0.4185098803771696,0.7439466038446441,0.00011014938354492188
train,CatBoost,mfeat-morphological,99.18699216842651,0.20340418815612793,0.9878840339992975,0.8380952380952381,0.8151458396778851,0.4056653201559407,0.0005838871002197266
test,CatBoost,mfeat-morphological,99.18699216842651,0.20340418815612793,0.9633406077841395,0.71,0.6450193676684787,0.6419380577227324,0.0007729530334472656
train,CatBoost,vehicle,75.90143609046936,0.04174971580505371,0.992620310788327,0.9417293233082706,0.9406296248915642,0.33496890049174394,0.0002949237823486328
test,CatBoost,vehicle,75.90143609046936,0.04174971580505371,0.940859771316097,0.7952755905511811,0.7617087849696528,0.47676700302827246,0.00018405914306640625
train,CatBoost,banknote-authentication,40.088494300842285,0.23316597938537598,1.0,1.0,0.9999999999976512,8.620250100842339e-05,0.00047397613525390625
test,CatBoost,banknote-authentication,40.088494300842285,0.23316597938537598,1.0,1.0,0.9999999999950844,0.00035743366126463554,0.0002770423889160156
train,CatBoost,analcatdata_dmft,9.227259874343872,0.027595996856689453,0.7371519487688915,0.38795180722891565,0.3606928259936317,1.4080230931621427,0.00023293495178222656
test,CatBoost,analcatdata_dmft,9.227259874343872,0.027595996856689453,0.5893553057603501,0.21105527638190955,0.20088590846120302,1.6044290172396831,0.00014400482177734375
train,CatBoost,MiceProtein,914.8021428585052,2.7810730934143066,1.0,1.0,0.9999999999879442,0.0004833999331162536,0.0005590915679931641
test,CatBoost,MiceProtein,914.8021428585052,2.7810730934143066,0.9999319585395953,0.9814814814814815,0.9752281484396238,0.05806631778720266,0.0005059242248535156
train,CatBoost,cylinder-bands,40.82105016708374,0.12713408470153809,1.0,1.0,0.9999999999939655,0.05253688122874307,0.00028896331787109375
test,CatBoost,cylinder-bands,40.82105016708374,0.12713408470153809,0.8999214454045561,0.8148148148148148,0.7842719441045697,0.39604822387846333,0.00016164779663085938
