split,nome_modelo,dataset,tempo_tune,tempo_train,auc_ovo,mean_acc,g_mean,mean_cross_entropy,tempo_predict
train,AutoSklearn,breast-w,,65.92029786109924,0.9983840560193914,0.990909090909091,0.9915139531005566,0.06239736971828258,0.41315245628356934
test,AutoSklearn,breast-w,,65.92029786109924,0.9978081619872664,0.9761904761904762,0.9745750213111938,0.08954972014156949,0.33261990547180176
train,AutoSklearn,eucalyptus,,56.530460596084595,0.9543344451524045,0.8257142857142857,0.7897558319908926,0.6654217814433319,3.7869534492492676
test,AutoSklearn,eucalyptus,,56.530460596084595,0.8706805473754625,0.6706586826347305,0.600648990970024,0.8541489974851283,3.7115981578826904
train,AutoSklearn,wdbc,,54.669092893600464,0.9961468194652051,0.9888268156424581,0.9866068741166335,0.07582831930066176,0.42396974563598633
test,AutoSklearn,wdbc,,54.669092893600464,0.9980893592004703,0.9883040935672515,0.9839989675958171,0.07922962168591005,0.40601015090942383
train,AutoSklearn,pc4,,115.23224949836731,0.9908086776062871,0.9694989106753813,0.890081735040691,0.2243950535878221,5.3288867473602295
test,AutoSklearn,pc4,,115.23224949836731,0.9273288314476097,0.8972602739726028,0.5775955025342764,0.3106479575729345,3.9109344482421875
train,AutoSklearn,credit-g,,294.9319267272949,0.9253860274268438,0.8539682539682539,0.7276980456482045,0.5986465370488585,0.5194952487945557
test,AutoSklearn,credit-g,,294.9319267272949,0.772700983227299,0.7333333333333333,0.48809368850458074,0.6278398346994291,0.3224031925201416
train,AutoSklearn,cmc,,57.67668175697327,0.8569798195546658,0.6828478964401294,0.6855319110542705,0.8318797618903125,0.6217484474182129
test,AutoSklearn,cmc,,57.67668175697327,0.7602477110744946,0.5746606334841629,0.5711124592470918,0.9195873437453322,0.4615926742553711
train,AutoSklearn,blood-transfusion-service-center,,240.40849614143372,0.8763940045017392,0.8659574468085106,0.7143405223163591,0.36127254824257005,1.1626732349395752
test,AutoSklearn,blood-transfusion-service-center,,240.40849614143372,0.6936868686868687,0.7644444444444445,0.554139609722792,0.5341422313028046,1.076345682144165
train,AutoSklearn,pc3,,115.44142580032349,0.5,0.9014227642276422,0.0,0.6931471805599453,0.0020215511322021484
test,AutoSklearn,pc3,,115.44142580032349,0.5,0.8955223880597015,0.0,0.6931471805599453,0.0009694099426269531
train,AutoSklearn,car,,115.37750601768494,0.9989258258999948,0.9954044117647058,0.9875156714505778,0.37741063324987434,14.92259931564331
test,AutoSklearn,car,,115.37750601768494,0.988533883285131,0.9576107899807321,0.9098398649955162,0.43810674871301536,16.342032432556152
train,AutoSklearn,kc2,,115.00131392478943,0.945285373263889,0.926829268292683,0.8680277773255958,0.258850812278644,0.3642101287841797
test,AutoSklearn,kc2,,115.00131392478943,0.7625448028673836,0.8343949044585988,0.7043860831989281,0.46910768104596323,0.3947031497955322
train,AutoSklearn,steel-plates-fault,,116.44196462631226,0.9950478259682782,0.9361702127659575,0.9387376214699885,0.3254329423954797,11.689773082733154
test,AutoSklearn,steel-plates-fault,,116.44196462631226,0.9679853138959859,0.7924528301886793,0.7848315820724024,0.5811612408441744,0.6050546169281006
train,AutoSklearn,balance-scale,,180.4051661491394,0.9881422492020778,0.9796437659033079,0.9658316567875306,0.9891912913888622,0.01779627799987793
test,AutoSklearn,balance-scale,,180.4051661491394,0.9647890946502057,0.9680851063829787,0.873580464713246,0.9931037666336623,0.016979694366455078
train,AutoSklearn,pc1,,115.03507614135742,0.9413010136036276,0.9426934097421203,0.361157559253105,0.21432458859755907,0.2136390209197998
test,AutoSklearn,pc1,,115.03507614135742,0.8408980876301138,0.918918918918919,0.0,0.2666721397116247,0.1560039520263672
train,AutoSklearn,tic-tac-toe,,237.51136231422424,1.0,1.0,0.9999999999963858,0.34828448329487843,0.19641757011413574
test,AutoSklearn,tic-tac-toe,,237.51136231422424,0.9997272975184075,0.9895833333333334,0.9868511043962678,0.37565527939182336,0.14438867568969727
train,AutoSklearn,analcatdata_authorship,,182.02533197402954,1.0,1.0,0.9999999999881852,0.16629186360709822,29.67389750480652
test,AutoSklearn,analcatdata_authorship,,182.02533197402954,1.0,0.9960474308300395,0.9971790974047623,0.23434366351358557,13.067911386489868
train,AutoSklearn,climate-model-simulation-crashes,,176.91711974143982,0.9907280219780219,0.9852941176470589,0.9063269671573289,0.14591479521691456,0.21053647994995117
test,AutoSklearn,climate-model-simulation-crashes,,176.91711974143982,0.9613899613899614,0.9567901234567902,0.7533708034714327,0.19858927527387019,0.18572258949279785
train,AutoSklearn,qsar-biodeg,,297.652099609375,0.9685279085474651,0.9382530120481928,0.9246994665908839,0.29138835631824506,0.762373685836792
test,AutoSklearn,qsar-biodeg,,297.652099609375,0.9338561049087365,0.8738170347003155,0.855758863414775,0.35462137862109155,0.48846888542175293
train,AutoSklearn,diabetes,,297.9381136894226,0.954189122978932,0.927536231884058,0.9147097508543718,0.3538185652309438,0.6612980365753174
test,AutoSklearn,diabetes,,297.9381136894226,0.7899006622516557,0.7402597402597403,0.6945864461077557,0.5216228084449219,0.5000627040863037
train,AutoSklearn,ilpd,,295.0973641872406,0.9007270083605962,0.9046321525885559,0.8560516500019959,0.3389313540239683,0.021616458892822266
test,AutoSklearn,ilpd,,295.0973641872406,0.6958942819148937,0.72,0.5549882594038784,0.673802686520351,0.01549839973449707
train,AutoSklearn,credit-approval,,54.84081220626831,0.9872025338127033,0.9654377880184332,0.9665037143660989,0.3077975410581005,0.35353827476501465
test,AutoSklearn,credit-approval,,54.84081220626831,0.9241799437675726,0.855072463768116,0.8567500327064254,0.42212878477909854,0.3747689723968506
train,AutoSklearn,dresses-sales,,298.6029040813446,0.9179586563307494,0.8984126984126984,0.88257845893372,0.573359933521968,0.48857808113098145
test,AutoSklearn,dresses-sales,,298.6029040813446,0.5644955300127714,0.54,0.47179139366117273,0.6832161718833314,0.4386022090911865
train,AutoSklearn,mfeat-morphological,,175.95329785346985,0.9804222868936816,0.7896825396825397,0.7648945064459416,0.6850873997459799,40.353288412094116
