split,nome_modelo,dataset,tempo_tune,tempo_train,auc_ovo,mean_acc,g_mean,mean_cross_entropy,tempo_predict
train,t2g-former,breast-w,,6.944220066070557,0.9976883023610738,0.9863636363636363,0.9879537478770941,0.049156543277927706,0.054290771484375
test,t2g-former,breast-w,,6.944220066070557,0.9974950422711617,0.9666666666666667,0.9594644158737244,0.07138390218095737,0.02674555778503418
train,t2g-former,eucalyptus,,20.159727096557617,0.9501066255113696,0.7914285714285715,0.7854242308544167,0.5186412482806904,0.13053131103515625
test,t2g-former,eucalyptus,,20.159727096557617,0.8941672907774602,0.6706586826347305,0.6662231358604094,0.7941022975112944,0.05760002136230469
train,t2g-former,wdbc,,11.679057121276855,0.9983391463212091,0.9888268156424581,0.9866068741166335,0.03786601630842253,0.13289141654968262
test,t2g-former,wdbc,,11.679057121276855,0.9969135802469136,0.9824561403508771,0.9828033426492706,0.05655968359309713,0.05838274955749512
train,t2g-former,pc4,,98.83684659004211,0.9718136560029939,0.9313725490196079,0.833790411531513,0.1424109567139143,0.8753633499145508
test,t2g-former,pc4,,98.83684659004211,0.9036715710388623,0.8881278538812786,0.714765342677633,0.2669366395491093,0.4946448802947998
train,t2g-former,credit-g,,6.149772882461548,0.8449651465524483,0.8158730158730159,0.7637999231571957,0.43738305752321,0.05558013916015625
test,t2g-former,credit-g,,6.149772882461548,0.7893685262106315,0.7566666666666667,0.6669470290421611,0.5095530974872388,0.021997451782226562
train,t2g-former,cmc,,13.967464923858643,0.8337893060917677,0.6548004314994607,0.6371918151224922,0.7495516814802192,0.16267919540405273
test,t2g-former,cmc,,13.967464923858643,0.7267756546325788,0.5429864253393665,0.5115450003332627,0.9346637967741469,0.0742502212524414
train,t2g-former,blood-transfusion-service-center,,2.299471855163574,0.7826248209535502,0.8127659574468085,0.6403651505857387,0.43388775179781935,0.027219772338867188
test,t2g-former,blood-transfusion-service-center,,2.299471855163574,0.7590404040404041,0.7733333333333333,0.6234475669036129,0.5019838485889557,0.013622045516967773
train,t2g-former,pc3,,139.4190890789032,0.9789514057578541,0.9654471544715447,0.8733472984204042,0.09882533343489702,0.8433811664581299
test,t2g-former,pc3,,139.4190890789032,0.7450437317784256,0.8592750533049041,0.5485204057841937,0.4892491221996936,0.40317845344543457
train,t2g-former,car,,11.844030380249023,1.0,0.9990808823529411,0.9989904075846981,0.0068008253586134895,0.055535316467285156
test,t2g-former,car,,11.844030380249023,1.0,0.9942196531791907,0.9935825562640453,0.01441304383953638,0.026862144470214844
train,t2g-former,kc2,,2.250993251800537,0.8917100694444444,0.8323170731707317,0.7526717458058083,0.33122509591081944,0.03029632568359375
test,t2g-former,kc2,,2.250993251800537,0.7967229902713773,0.8152866242038217,0.7436365992088082,0.4413308035543893,0.015207529067993164
train,t2g-former,steel-plates-fault,,42.663044452667236,0.9802933020056569,0.8117839607201309,0.7844041620002953,0.4613011977725598,0.6160626411437988
test,t2g-former,steel-plates-fault,,42.663044452667236,0.9574393527673655,0.7667238421955404,0.706104446457885,0.6095816888149628,0.20285367965698242
train,t2g-former,balance-scale,,2.3110342025756836,0.9942956380249077,0.9618320610687023,0.8469893511332302,0.09828793126299407,0.014949560165405273
test,t2g-former,balance-scale,,2.3110342025756836,0.9848791152263375,0.9361702127659575,0.8090786809509641,0.16453563739691482,0.007927656173706055
